sensor_id,lat,lon,pressure,temperature,humidity
3472,42.669,23.318,94600.45,16.58,77.12
4469,42.665,23.293,94662.98,31.45,26.92
3102,42.665,23.392,94688.8,20.69,67.5
2294,42.645,23.265,92585.83,23.22,52.04
2228,42.693,23.333,94934.25,32.99,37.92
2232,42.685,23.301,95013.48,25.96,61.05
2234,42.685,23.356,94303.42,30.6,39.35
2607,42.66,23.319,95247.03,25.07,45.59
3092,42.666,23.284,94652.42,20.25,0.0
3092,42.666,23.284,94408.66,19.58,0.0
3558,42.671,23.364,95149.36,36.45,18.31
3474,42.68,23.293,95236.75,21.27,61.67
2607,42.66,23.319,94417.61,37.42,22.16
4358,42.703,23.373,94662.48,17.87,88.37
2038,42.694,23.32,94722.11,21.03,69.09
2232,42.685,23.301,93802.23,28.96,38.96
2224,42.651,23.335,94492.06,29.65,29.66
3982,42.654,23.33,94364.64,25.75,0.0
2292,42.663,23.273,94184.4,22.83,42.15
3096,42.7,23.36,95276.19,23.55,45.05
2264,42.671,23.31,95371.41,18.06,68.09
2323,42.686,23.4,94709.16,16.88,91.22
4358,42.703,23.373,95798.92,28.53,37.99
2036,42.657,23.349,94923.79,18.05,73.36
2036,42.657,23.349,94391.16,33.87,25.16
2234,42.685,23.356,95166.18,30.65,32.77
2323,42.686,23.4,95338.41,32.92,31.58
3982,42.654,23.33,94774.53,29.16,0.0
3642,42.694,23.36,95213.85,17.63,78.17
3836,42.702,23.371,95677.07,25.8,47.11
2036,42.657,23.349,95353.13,13.73,79.42
1954,42.704,23.354,94937.49,24.25,42.14
1764,42.622,23.366,93425.39,21.36,55.53
1954,42.704,23.354,95930.28,22.43,52.95
1850,42.677,23.311,94243.59,18.47,77.78
3512,42.683,23.335,95137.56,29.19,53.07
2294,42.645,23.265,92941.5,16.57,75.71
2232,42.685,23.301,94932.28,30.07,43.36
2294,42.645,23.265,93146.63,20.77,52.71
3092,42.666,23.284,93825.01,19.2,0.0
1850,42.677,23.311,94756.23,19.89,56.77
1850,42.677,23.311,94459.55,32.08,42.4
2228,42.693,23.333,95255.68,29.87,37.29
2323,42.686,23.4,94989.53,24.1,43.25
3296,42.671,23.325,94894.74,47.21,10.52
2038,42.694,23.32,95609.92,28.49,31.98
3438,42.738,23.293,95669.14,20.17,56.78
3092,42.666,23.284,94959.83,28.38,37.61
2228,42.693,23.333,95176.93,20.35,50.17
3428,42.624,23.406,94669.68,25.52,44.06
3982,42.654,23.33,94504.47,34.25,0.0
1954,42.704,23.354,95725.17,31.98,32.42
2234,42.685,23.356,95606.83,25.51,42.78
2266,42.738,23.272,95685.75,22.04,77.23
2266,42.738,23.272,95996.86,22.01,58.06
2264,42.671,23.31,95158.94,17.5,78.1
3642,42.694,23.36,94673.78,28.37,38.69
2607,42.66,23.319,94919.08,21.17,67.93
2228,42.693,23.333,95301.11,18.86,65.04
3432,42.71,23.419,95764.14,17.86,82.83
2040,42.686,23.351,94952.01,25.79,46.54
1962,42.69,23.324,95342.9,20.89,60.88
3620,42.678,23.254,94873.49,20.25,70.72
2323,42.686,23.4,95380.88,31.43,27.57
1962,42.69,23.324,94371.23,28.16,40.36
2294,42.645,23.265,92669.17,22.87,49.94
2230,42.692,23.332,94969.92,31.53,37.37
3474,42.68,23.293,94785.24,31.87,30.22
3982,42.654,23.33,95157.09,19.8,0.0
3500,42.703,23.349,94361.66,28.0,48.89
2038,42.694,23.32,95483.91,32.26,30.89
4473,42.625,23.321,93311.63,31.1,28.23
2230,42.692,23.332,94147.22,27.59,44.22
2323,42.686,23.4,95493.65,32.31,31.22
2294,42.645,23.265,93247.39,27.14,38.01
2264,42.671,23.31,94314.09,20.38,74.91
3102,42.665,23.392,94886.11,25.17,38.69
2232,42.685,23.301,95264.95,28.8,32.31
3558,42.671,23.364,94373.94,21.68,44.18
2228,42.693,23.333,95155.14,35.21,33.59
3102,42.665,23.392,94863.57,20.14,68.02
2232,42.685,23.301,95080.78,30.98,30.36
3436,42.693,23.359,94429.22,23.99,52.91
2264,42.671,23.31,94149.09,24.01,59.21
2294,42.645,23.265,93064.19,40.63,17.83
2216,42.664,23.373,94990.34,28.83,48.1
3428,42.624,23.406,95040.0,31.74,30.13
1952,42.709,23.398,95674.7,16.11,89.19
4469,42.665,23.293,93492.84,27.52,43.48
2232,42.685,23.301,94992.71,33.42,25.28
2038,42.694,23.32,95855.08,20.19,59.3
2038,42.694,23.32,95040.91,30.79,29.58
4558,42.706,23.38,94992.54,16.17,70.79
3836,42.702,23.371,95727.25,27.99,35.48
3436,42.693,23.359,95403.41,17.04,78.13
3472,42.669,23.318,94377.8,22.88,59.2
2224,42.651,23.335,94087.94,39.26,20.55
1846,42.64,23.31,93036.75,15.83,100.0
3102,42.665,23.392,95708.41,25.38,38.69
1954,42.704,23.354,95356.34,38.65,24.42
2036,42.657,23.349,94395.85,24.81,47.47
3102,42.665,23.392,95620.34,20.05,54.69
1846,42.64,23.31,94005.64,14.18,93.47
2264,42.671,23.31,94930.36,28.25,49.8
2262,42.691,23.324,95064.07,33.24,26.98
3500,42.703,23.349,95717.27,18.07,67.39
2232,42.685,23.301,95230.67,22.75,54.42
3296,42.671,23.325,94680.05,37.67,29.27
3968,42.689,23.357,95274.08,23.44,59.95
1850,42.677,23.311,94976.66,30.76,31.15
3102,42.665,23.392,94187.4,36.32,21.58
3982,42.654,23.33,94865.09,24.08,0.0
1846,42.64,23.31,93347.87,16.43,63.3
3620,42.678,23.254,93773.28,17.55,88.92
3092,42.666,23.284,94513.44,23.46,0.0
3102,42.665,23.392,95148.78,40.87,15.41
3836,42.702,23.371,95446.45,24.25,49.93
2224,42.651,23.335,94779.05,17.42,73.17
3096,42.7,23.36,95531.56,30.04,29.57
2040,42.686,23.351,95833.06,23.76,55.15
2266,42.738,23.272,95599.12,34.63,34.83
2230,42.692,23.332,95586.24,26.72,38.13
2224,42.651,23.335,94337.92,28.29,37.57
3438,42.738,23.293,95429.6,28.04,39.57
4473,42.625,23.321,92387.34,36.89,32.7
3558,42.671,23.364,95352.71,21.89,57.09
2264,42.671,23.31,94562.41,32.14,33.85
3472,42.669,23.318,94646.75,21.91,68.66
3836,42.702,23.371,96038.73,19.23,66.33
2262,42.691,23.324,95570.03,27.47,34.86
3472,42.669,23.318,94798.28,24.79,51.77
2230,42.692,23.332,95230.56,19.1,78.97
2292,42.663,23.273,93899.72,19.34,79.86
2230,42.692,23.332,94509.36,24.8,54.13
2224,42.651,23.335,93906.0,29.5,36.64
2266,42.738,23.272,94895.83,17.19,94.08
2266,42.738,23.272,95513.91,34.35,27.48
3428,42.624,23.406,94445.91,28.41,32.05
3096,42.7,23.36,95369.77,32.2,25.19
3436,42.693,23.359,94955.52,23.91,60.99
3558,42.671,23.364,94220.39,18.45,78.54
2228,42.693,23.333,94618.75,19.0,74.8
2294,42.645,23.265,93215.3,26.12,42.73
2040,42.686,23.351,117638.84,-145.12,100.0
2232,42.685,23.301,95100.16,23.36,61.25
2262,42.691,23.324,95310.84,41.03,21.17
2294,42.645,23.265,93142.77,23.52,50.7
3102,42.665,23.392,95592.61,19.62,57.07
1846,42.64,23.31,94151.8,17.95,84.73
3982,42.654,23.33,94815.05,21.41,0.0
4467,42.665,23.278,95092.29,24.88,47.47
3432,42.71,23.419,95338.0,23.97,55.15
2264,42.671,23.31,95244.67,23.16,64.66
2216,42.664,23.373,95162.63,21.52,77.68
3432,42.71,23.419,95909.73,17.36,76.06
2230,42.692,23.332,95109.09,19.68,81.22
3092,42.666,23.284,94175.33,18.33,63.19
1764,42.622,23.366,93844.24,24.94,41.82
1952,42.709,23.398,95514.77,18.14,57.65
2232,42.685,23.301,95265.41,24.55,45.56
3642,42.694,23.36,95594.61,27.65,41.77
2262,42.691,23.324,95595.39,28.35,34.57
3836,42.702,23.371,95963.43,30.7,25.13
1962,42.69,23.324,95184.7,40.71,23.16
1850,42.677,23.311,95028.01,19.45,67.79
1962,42.69,23.324,94781.43,33.93,35.05
1850,42.677,23.311,95134.91,23.97,56.28
3102,42.665,23.392,94508.16,25.39,44.4
2264,42.671,23.31,94434.56,20.54,74.49
4473,42.625,23.321,93497.09,19.59,62.02
3512,42.683,23.335,94899.71,19.66,79.35
3472,42.669,23.318,94751.17,16.91,73.72
2230,42.692,23.332,95385.62,24.15,50.6
3968,42.689,23.357,95018.03,27.82,50.75
3620,42.678,23.254,94700.84,29.91,42.75
2232,42.685,23.301,95221.98,22.34,55.75
3472,42.669,23.318,94858.02,28.85,31.79
2264,42.671,23.31,95290.56,32.03,27.71
3102,42.665,23.392,95386.2,37.94,21.03
2232,42.685,23.301,95189.64,33.31,36.23
3500,42.703,23.349,95044.91,24.06,63.06
3738,42.7,23.332,95460.7,28.65,43.87
2264,42.671,23.31,94386.89,38.93,21.89
3512,42.683,23.335,95313.53,20.83,80.24
2607,42.66,23.319,94749.5,22.22,54.3
1846,42.64,23.31,93472.44,20.27,58.24
2294,42.645,23.265,93119.58,18.17,66.39
4358,42.703,23.373,0.0,0.0,0.0
3436,42.693,23.359,95753.61,20.95,56.62
2234,42.685,23.356,95364.74,30.78,28.05
1764,42.622,23.366,94649.78,32.24,33.63
2232,42.685,23.301,94597.12,24.88,52.72
2232,42.685,23.301,94280.25,20.57,63.22
2234,42.685,23.356,95160.67,35.56,27.43
3432,42.71,23.419,96029.22,28.96,37.87
3620,42.678,23.254,94538.84,26.09,64.07
3836,42.702,23.371,95672.22,20.05,65.23
2232,42.685,23.301,95464.86,18.52,63.94
1846,42.64,23.31,93526.91,24.47,47.56
2607,42.66,23.319,95098.52,24.68,49.93
2228,42.693,23.333,95053.25,24.69,57.47
2036,42.657,23.349,94921.78,15.95,76.52
2234,42.685,23.356,95323.67,28.93,34.41
2264,42.671,23.31,95485.75,22.24,65.12
2036,42.657,23.349,95371.55,18.99,61.75
